iter	Passed	Remaining
0	150	150218
1	155	77526
2	159	53033
3	163	40741
4	167	33372
5	172	28518
6	176	24994
7	180	22330
8	184	20290
9	188	18629
10	192	17286
11	196	16156
12	201	15280
13	206	14533
14	210	13807
15	214	13184
16	218	12627
17	222	12127
18	226	11681
19	230	11295
20	234	10927
21	238	10598
22	242	10295
23	246	10019
24	250	9766
25	254	9543
26	258	9320
27	263	9138
28	267	8965
29	272	8812
30	276	8649
31	280	8491
32	285	8368
33	290	8256
34	295	8156
35	300	8041
36	304	7924
37	309	7828
38	313	7725
39	317	7619
40	321	7527
41	326	7445
42	330	7358
43	334	7278
44	339	7210
45	343	7133
46	348	7058
47	352	6989
48	356	6924
49	360	6848
50	364	6784
51	374	6818
52	378	6761
53	388	6802
54	393	6766
55	400	6748
56	407	6737
57	418	6795
58	422	6741
59	427	6695
60	435	6710
61	440	6669
62	451	6717
63	455	6667
64	465	6693
65	469	6647
66	475	6616
67	480	6586
68	484	6540
69	490	6522
70	497	6513
71	502	6471
72	514	6531
73	518	6490
74	526	6498
75	533	6482
76	539	6461
77	543	6418
78	547	6381
79	554	6371
80	559	6352
81	564	6317
82	569	6296
83	575	6276
84	579	6242
85	587	6246
86	592	6217
87	598	6198
88	603	6179
89	608	6147
90	614	6138
91	620	6119
92	623	6085
93	630	6076
94	635	6054
95	639	6022
96	646	6016
97	650	5991
98	654	5957
99	670	6033
100	678	6042
101	682	6012
102	687	5986
103	692	5964
104	702	5988
105	708	5976
106	715	5972
107	721	5962
108	728	5953
109	737	5965
110	742	5949
111	747	5922
112	754	5921
113	759	5900
114	763	5874
115	770	5869
116	773	5840
117	778	5821
118	784	5809
119	789	5786
120	793	5767
121	797	5739
122	803	5728
123	809	5717
124	813	5694
125	817	5671
126	820	5640
127	825	5626
128	829	5603
129	834	5582
130	837	5558
131	842	5542
132	846	5519
133	850	5499
134	855	5479
135	859	5460
136	864	5443
137	870	5435
138	875	5424
139	880	5408
140	885	5394
141	890	5377
142	896	5370
143	901	5360
144	925	5454
145	933	5460
146	940	5458
147	945	5445
148	950	5431
149	955	5414
150	960	5397
151	964	5380
152	968	5363
153	973	5350
154	980	5343
155	985	5331
156	991	5324
157	997	5315
158	1002	5300
159	1007	5291
160	1010	5268
161	1014	5249
162	1018	5231
163	1023	5216
164	1027	5198
165	1031	5181
166	1035	5165
167	1040	5151
168	1044	5134
169	1048	5119
170	1053	5109
171	1059	5100
172	1067	5103
173	1073	5094
174	1078	5082
175	1084	5075
176	1088	5060
177	1092	5046
178	1097	5034
179	1102	5020
180	1106	5006
181	1110	4992
182	1115	4980
183	1121	4972
184	1126	4964
185	1135	4970
186	1140	4960
187	1149	4966
188	1154	4954
189	1164	4964
190	1169	4953
191	1178	4958
192	1182	4946
193	1192	4952
194	1197	4942
195	1201	4929
196	1210	4935
197	1216	4928
198	1225	4933
199	1230	4922
200	1237	4918
201	1242	4909
202	1246	4895
203	1253	4890
204	1257	4878
205	1262	4865
206	1269	4861
207	1273	4850
208	1282	4853
209	1289	4852
210	1305	4882
211	1314	4885
212	1320	4878
213	1324	4865
214	1332	4866
215	1338	4856
216	1351	4875
217	1357	4868
218	1366	4873
219	1371	4863
220	1378	4858
221	1382	4846
222	1389	4842
223	1394	4830
224	1398	4816
225	1406	4815
226	1410	4801
227	1414	4788
228	1421	4787
229	1426	4775
230	1432	4769
231	1439	4764
232	1443	4751
233	1452	4753
234	1456	4741
235	1465	4743
236	1473	4743
237	1479	4738
238	1486	4732
239	1489	4718
240	1495	4710
241	1500	4699
242	1504	4686
243	1509	4677
244	1514	4667
245	1518	4655
246	1523	4643
247	1528	4634
248	1532	4621
249	1537	4611
250	1542	4603
251	1547	4593
252	1551	4580
253	1556	4571
254	1562	4563
255	1566	4551
256	1572	4545
257	1576	4533
258	1580	4520
259	1585	4512
260	1590	4502
261	1594	4490
262	1598	4479
263	1603	4471
264	1607	4458
265	1611	4447
266	1617	4439
267	1621	4427
268	1625	4416
269	1629	4406
270	1635	4398
271	1638	4386
272	1643	4376
273	1649	4369
274	1653	4357
275	1656	4345
276	1662	4339
277	1666	4329
278	1670	4317
279	1679	4317
280	1683	4308
281	1690	4305
282	1697	4300
283	1700	4288
284	1706	4280
285	1710	4271
286	1715	4260
287	1719	4250
288	1725	4245
289	1729	4234
290	1734	4225
291	1739	4217
292	1744	4208
293	1748	4198
294	1754	4191
295	1758	4181
296	1761	4170
297	1767	4163
298	1772	4155
299	1776	4144
300	1782	4139
301	1787	4130
302	1791	4120
303	1797	4115
304	1802	4107
305	1806	4097
306	1811	4088
307	1816	4080
308	1820	4070
309	1824	4060
310	1829	4053
311	1834	4044
312	1838	4034
313	1845	4032
314	1850	4023
315	1854	4014
316	1858	4005
317	1864	3997
318	1868	3988
319	1873	3980
320	1879	3975
321	1884	3967
322	1888	3958
323	1892	3948
324	1896	3939
325	1901	3931
326	1905	3921
327	1909	3911
328	1913	3901
329	1917	3893
330	1921	3883
331	1925	3874
332	1929	3864
333	1933	3856
334	1937	3846
335	1941	3836
336	1945	3827
337	1949	3817
338	1953	3808
339	1957	3799
340	1960	3789
341	1965	3780
342	1968	3770
343	1972	3762
344	1976	3752
345	1980	3743
346	1984	3734
347	1988	3724
348	1991	3715
349	1996	3707
350	1999	3697
351	2003	3688
352	2007	3679
353	2011	3670
354	2014	3661
355	2018	3652
356	2022	3643
357	2027	3636
358	2032	3628
359	2036	3620
360	2040	3612
361	2044	3603
362	2048	3595
363	2053	3587
364	2057	3578
365	2060	3570
366	2065	3562
367	2069	3554
368	2073	3546
369	2078	3538
370	2081	3529
371	2086	3522
372	2090	3514
373	2095	3506
374	2098	3498
375	2103	3490
376	2107	3482
377	2112	3475
378	2117	3468
379	2121	3461
380	2126	3454
381	2130	3446
382	2135	3440
383	2139	3432
384	2143	3423
385	2147	3415
386	2151	3407
387	2155	3399
388	2159	3391
389	2163	3383
390	2167	3375
391	2171	3367
392	2175	3359
393	2179	3351
394	2183	3343
395	2186	3335
396	2190	3327
397	2194	3319
398	2198	3311
399	2202	3304
400	2206	3296
401	2210	3288
402	2215	3281
403	2219	3274
404	2223	3266
405	2227	3259
406	2231	3251
407	2235	3242
408	2238	3235
409	2242	3227
410	2247	3220
411	2251	3212
412	2254	3204
413	2259	3197
414	2262	3189
415	2266	3182
416	2271	3175
417	2275	3168
418	2279	3160
419	2283	3153
420	2287	3145
421	2291	3138
422	2295	3131
423	2299	3124
424	2303	3116
425	2307	3109
426	2311	3101
427	2315	3094
428	2320	3088
429	2323	3080
430	2327	3073
431	2331	3066
432	2335	3058
433	2340	3051
434	2343	3044
435	2347	3037
436	2351	3029
437	2355	3022
438	2359	3014
439	2362	3007
440	2366	3000
441	2370	2992
442	2374	2985
443	2378	2977
444	2381	2970
445	2385	2963
446	2389	2956
447	2394	2950
448	2398	2942
449	2401	2935
450	2405	2928
451	2409	2921
452	2413	2914
453	2417	2907
454	2421	2900
455	2425	2893
456	2429	2886
457	2433	2879
458	2437	2872
459	2440	2865
460	2445	2858
461	2448	2851
462	2452	2844
463	2456	2837
464	2460	2831
465	2464	2824
466	2468	2817
467	2472	2810
468	2476	2803
469	2480	2796
470	2484	2790
471	2488	2783
472	2492	2777
473	2496	2770
474	2499	2762
475	2503	2756
476	2507	2749
477	2513	2745
478	2518	2738
479	2522	2732
480	2527	2726
481	2532	2721
482	2536	2714
483	2540	2708
484	2544	2701
485	2547	2694
486	2551	2687
487	2555	2681
488	2559	2675
489	2563	2668
490	2567	2661
491	2571	2655
492	2575	2648
493	2579	2642
494	2583	2635
495	2587	2629
496	2591	2622
497	2595	2615
498	2598	2609
499	2602	2602
500	2606	2596
501	2610	2589
502	2614	2583
503	2618	2577
504	2622	2570
505	2626	2564
506	2630	2558
507	2634	2551
508	2638	2545
509	2642	2538
510	2646	2532
511	2650	2526
512	2655	2520
513	2659	2514
514	2663	2508
515	2667	2501
516	2670	2495
517	2674	2488
518	2678	2482
519	2682	2476
520	2686	2469
521	2690	2463
522	2694	2457
523	2698	2451
524	2702	2445
525	2706	2439
526	2710	2433
527	2715	2427
528	2719	2421
529	2723	2414
530	2727	2408
531	2731	2402
532	2735	2396
533	2739	2391
534	2743	2384
535	2747	2378
536	2751	2372
537	2755	2365
538	2759	2360
539	2763	2354
540	2767	2348
541	2771	2342
542	2775	2335
543	2779	2329
544	2782	2323
545	2786	2317
546	2790	2311
547	2794	2305
548	2798	2299
549	2802	2293
550	2806	2287
551	2811	2281
552	2814	2275
553	2820	2270
554	2824	2264
555	2828	2258
556	2832	2252
557	2836	2246
558	2839	2240
559	2844	2234
560	2848	2228
561	2852	2222
562	2855	2216
563	2859	2210
564	2863	2204
565	2867	2198
566	2871	2193
567	2875	2187
568	2879	2181
569	2883	2175
570	2887	2169
571	2891	2163
572	2896	2158
573	2901	2153
574	2906	2148
575	2910	2142
576	2914	2136
577	2918	2130
578	2922	2124
579	2926	2119
580	2930	2113
581	2934	2107
582	2938	2102
583	2942	2096
584	2948	2091
585	2952	2085
586	2956	2080
587	2960	2074
588	2964	2068
589	2968	2062
590	2972	2057
591	2976	2051
592	2981	2046
593	2985	2040
594	2990	2035
595	2994	2029
596	2998	2023
597	3001	2018
598	3006	2012
599	3010	2006
600	3013	2000
601	3017	1995
602	3021	1989
603	3025	1983
604	3029	1977
605	3033	1972
606	3038	1967
607	3042	1961
608	3046	1955
609	3050	1950
610	3054	1944
611	3058	1938
612	3062	1933
613	3066	1927
614	3070	1922
615	3074	1916
616	3078	1910
617	3082	1905
618	3085	1899
619	3089	1893
620	3093	1888
621	3097	1882
622	3101	1876
623	3105	1871
624	3108	1865
625	3112	1859
626	3116	1854
627	3120	1848
628	3124	1842
629	3127	1837
630	3131	1831
631	3135	1825
632	3139	1820
633	3143	1814
634	3147	1809
635	3151	1803
636	3155	1797
637	3158	1792
638	3162	1786
639	3166	1781
640	3170	1775
641	3174	1770
642	3179	1765
643	3183	1759
644	3187	1754
645	3191	1748
646	3195	1743
647	3199	1738
648	3203	1732
649	3207	1726
650	3211	1721
651	3215	1716
652	3219	1710
653	3223	1705
654	3227	1699
655	3230	1694
656	3234	1688
657	3238	1683
658	3243	1678
659	3246	1672
660	3251	1667
661	3255	1662
662	3259	1656
663	3263	1651
664	3267	1646
665	3272	1641
666	3277	1636
667	3282	1631
668	3286	1626
669	3290	1620
670	3294	1615
671	3298	1610
672	3302	1604
673	3306	1599
674	3310	1594
675	3314	1588
676	3318	1583
677	3322	1578
678	3326	1572
679	3330	1567
680	3334	1561
681	3338	1556
682	3341	1551
683	3345	1545
684	3349	1540
685	3353	1534
686	3357	1529
687	3361	1524
688	3365	1518
689	3368	1513
690	3372	1508
691	3376	1502
692	3380	1497
693	3384	1492
694	3388	1486
695	3392	1481
696	3396	1476
697	3400	1471
698	3404	1465
699	3408	1460
700	3413	1455
701	3417	1450
702	3422	1445
703	3425	1440
704	3429	1435
705	3434	1430
706	3437	1424
707	3442	1419
708	3447	1414
709	3451	1409
710	3456	1404
711	3460	1399
712	3464	1394
713	3468	1389
714	3472	1384
715	3476	1379
716	3480	1373
717	3485	1368
718	3489	1363
719	3493	1358
720	3497	1353
721	3501	1348
722	3505	1342
723	3508	1337
724	3512	1332
725	3516	1327
726	3520	1322
727	3524	1316
728	3528	1311
729	3532	1306
730	3536	1301
731	3540	1296
732	3544	1290
733	3547	1285
734	3551	1280
735	3555	1275
736	3559	1270
737	3563	1265
738	3567	1260
739	3571	1254
740	3575	1249
741	3579	1244
742	3584	1239
743	3588	1234
744	3592	1229
745	3596	1224
746	3600	1219
747	3604	1214
748	3609	1209
749	3613	1204
750	3617	1199
751	3621	1194
752	3626	1189
753	3630	1184
754	3634	1179
755	3638	1174
756	3644	1169
757	3648	1164
758	3653	1159
759	3657	1155
760	3661	1150
761	3665	1144
762	3669	1139
763	3673	1134
764	3677	1129
765	3681	1124
766	3685	1119
767	3689	1114
768	3692	1109
769	3696	1104
770	3700	1099
771	3704	1093
772	3708	1089
773	3712	1084
774	3716	1078
775	3720	1073
776	3724	1068
777	3727	1063
778	3731	1058
779	3736	1053
780	3740	1048
781	3744	1043
782	3748	1038
783	3752	1033
784	3756	1028
785	3760	1023
786	3764	1018
787	3768	1013
788	3772	1008
789	3776	1004
790	3780	998
791	3785	994
792	3790	989
793	3794	984
794	3798	979
795	3803	974
796	3807	969
797	3811	964
798	3816	960
799	3820	955
800	3824	950
801	3828	945
802	3832	940
803	3836	935
804	3840	930
805	3847	926
806	3855	922
807	3860	917
808	3865	912
809	3870	907
810	3874	902
811	3878	898
812	3882	893
813	3887	888
814	3891	883
815	3895	878
816	3899	873
817	3903	868
818	3907	863
819	3911	858
820	3916	853
821	3922	849
822	3926	844
823	3931	839
824	3936	834
825	3940	830
826	3944	825
827	3948	820
828	3953	815
829	3957	810
830	3961	805
831	3965	800
832	3969	795
833	3972	790
834	3976	785
835	3980	780
836	3985	776
837	3989	771
838	3993	766
839	3997	761
840	4001	756
841	4005	751
842	4009	746
843	4013	741
844	4017	736
845	4021	732
846	4025	727
847	4029	722
848	4033	717
849	4038	712
850	4042	707
851	4047	703
852	4051	698
853	4055	693
854	4059	688
855	4063	683
856	4067	678
857	4071	673
858	4075	669
859	4079	664
860	4083	659
861	4088	654
862	4092	649
863	4096	644
864	4101	640
865	4105	635
866	4109	630
867	4113	625
868	4117	620
869	4121	615
870	4125	611
871	4129	606
872	4133	601
873	4137	596
874	4141	591
875	4145	586
876	4149	581
877	4153	577
878	4157	572
879	4162	567
880	4165	562
881	4170	557
882	4174	553
883	4178	548
884	4182	543
885	4186	538
886	4190	533
887	4194	529
888	4198	524
889	4202	519
890	4206	514
891	4210	509
892	4214	504
893	4218	500
894	4222	495
895	4226	490
896	4230	485
897	4233	480
898	4237	476
899	4242	471
900	4246	466
901	4250	461
902	4254	456
903	4257	452
904	4262	447
905	4266	442
906	4270	437
907	4274	433
908	4278	428
909	4283	423
910	4287	418
911	4291	414
912	4295	409
913	4299	404
914	4304	399
915	4308	395
916	4312	390
917	4316	385
918	4319	380
919	4323	375
920	4327	371
921	4332	366
922	4336	361
923	4339	356
924	4343	352
925	4347	347
926	4351	342
927	4355	337
928	4359	333
929	4363	328
930	4366	323
931	4370	318
932	4374	314
933	4378	309
934	4382	304
935	4385	299
936	4390	295
937	4394	290
938	4398	285
939	4402	281
940	4407	276
941	4412	271
942	4417	266
943	4421	262
944	4426	257
945	4430	252
946	4434	248
947	4438	243
948	4442	238
949	4447	234
950	4451	229
951	4455	224
952	4459	219
953	4463	215
954	4467	210
955	4471	205
956	4474	201
957	4479	196
958	4483	191
959	4487	186
960	4491	182
961	4495	177
962	4499	172
963	4503	168
964	4507	163
965	4511	158
966	4515	154
967	4519	149
968	4523	144
969	4527	140
970	4531	135
971	4535	130
972	4539	125
973	4543	121
974	4547	116
975	4551	111
976	4556	107
977	4560	102
978	4563	97
979	4568	93
980	4572	88
981	4576	83
982	4580	79
983	4585	74
984	4588	69
985	4592	65
986	4596	60
987	4601	55
988	4606	51
989	4610	46
990	4613	41
991	4618	37
992	4622	32
993	4626	27
994	4630	23
995	4634	18
996	4638	13
997	4642	9
998	4646	4
999	4650	0
